source_sheet,source_row,asset_number,asset_name,description,category_name,location_name,department,serial_number,model,manufacturer,quantity,condition_note,migration_date,acquisition_date,in_service_date,acquisition_cost,accumulated_depreciation,net_book_value,depreciation_method,useful_life_months,remaining_life_months,residual_value,currency_code,status,assumption_flag,assumption_note
SUMMARY REPORT SHEET,46,Dotmac/OE/Dt043,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 2nd Floor",8CC20814TC,HP 24-DF1103NH,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,47,Dotmac/OE/Dt044,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 2nd Floor",8CC9491MGL,HP 20-c412NH,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,48,Dotmac/OE/Dt045,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 2nd Floor",8CC20814SW,HP 24-DF1103NH,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,49,Dotmac/OE/Dt046,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 2nd Floor",8CC84104MK,HP 24-XA0057C,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,50,Dotmac/OE/Dt047,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 2nd Floor",8CC84415K4,HP 24-XA0057C,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,51,Dotmac/OE/Dt048,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 2nd Floor",8CC2251GT9,HP 24-CB1004NE,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,52,Dotmac/OE/Dt049,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 2nd Floor",8CC9491M33,HP 20-c412NH,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,53,Dotmac/OE/Dt050,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 2nd Floor",8CC20814TO,HP 24-DF1103NH,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,54,Dotmac/OE/Dt051,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 2nd Floor",8CC9491M33,HP 20-c412NH,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,55,Dotmac/OE/Dt052,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 2nd Floor",8CC20814T9,HP 24-DF1103NH,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,56,Dotmac/OE/Dt053,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 2nd Floor",8CC9491M8V,HP 20-c412NH,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,57,Dotmac/OE/Dt054,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 2nd Floor",8CC2202LMQ,HP 200G4AiO i5-10210UI,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,58,Dotmac/OE/Dt055,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 2nd Floor",8CC9491M93,HP 20-c412NH,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,59,Dotmac/OE/Dt056,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 2nd Floor",8CC9491MT7,HP 20-c412NH,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,60,Dotmac/OE/Dt057,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Business Manager's Office,8CC83515CH,HP 24-XA0057C,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,61,Dotmac/OE/Dt058,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,CEO's Office,8CC8340F24,HP 24-XA0057C,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,62,Dotmac/OE/Dt059,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Finance Manager's Office.,8CC3440H29,HP 24-XA0057C,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,63,OPEN-FA-2024-0001,Desktop (CPU),Desktop (CPU),ICT Equipment,Head Office.,"Open Office, 2nd Floor",CPU HP PRO DESK 400GS MT,4CE9111ZK9,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; generated temporary asset number
SUMMARY REPORT SHEET,64,OPEN-FA-2024-0002,Monitor,Monitor,Other Fixed Asset,Head Office.,"Open Office, 2nd Floor",3CQ817066H,HP V197 MONITOR,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; generated temporary asset number
SUMMARY REPORT SHEET,65,Dotmac/OE/Dt060,All in One Desktop,All in One Desktop,ICT Equipment,Jabi BTS,Projects,8CC20814T2,24 df1103nb,HP,1,"Good, in Use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,66,Dotmac/OE/Dt061,All in one Desktop,All in one Desktop,ICT Equipment,Gwarimpa BTS,projects,8CC9491MCG,20-C412nh,HP,1,"Good, In Use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,67,Dotmac/OE/Dt062,All in one Desktop,All in one Desktop,ICT Equipment,Gwarimpa BTS,projects,8CC9491MCB2,20-C412nh,HP,1,"Good, In Use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,68,Dotmac/OE/Dt063,All in one Desktop,All in one Desktop,ICT Equipment,Gwarimpa BTS,projects,8CC8370KLS/ 24-xa0057c,,HP,1,"Good, In Use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,69,Dotmac/OE/Dt064,All in one Desktop,All in one Desktop,ICT Equipment,Gudu BTS,projects,8CC9491M6F/20-c412nh,,HP,1,"Good, In Use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,70,Dotmac/OE/Kb001,keyboard,keyboard,ICT Equipment,Head Office.,Facility,BGAOCOALADOOBH,ASSY P/N904367-L31,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,71,Dotmac/OE/Kb002,keyboard,keyboard,ICT Equipment,Head Office.,Facility,BGAOCOALADOO5W,ASSY P/N904367-L31,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
