asset_number,asset_name,source_sheet,source_row,missing_fields
Dotmac/OE/Ms017,Mouse,SUMMARY REPORT SHEET,151,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms018,Mouse,SUMMARY REPORT SHEET,152,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms019,Mouse,SUMMARY REPORT SHEET,153,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms020,Mouse,SUMMARY REPORT SHEET,154,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms021,Mouse,SUMMARY REPORT SHEET,155,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms022,Mouse,SUMMARY REPORT SHEET,156,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms023,Mouse,SUMMARY REPORT SHEET,157,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms024,Mouse,SUMMARY REPORT SHEET,158,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms025,Mouse,SUMMARY REPORT SHEET,159,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms026,Mouse,SUMMARY REPORT SHEET,160,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms027,Mouse,SUMMARY REPORT SHEET,161,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms028,Mouse,SUMMARY REPORT SHEET,162,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms029,Mouse,SUMMARY REPORT SHEET,163,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
